               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,             0.10782,            0.028088,           0.0083838,             0.70745,             0.47956,             0.52079,               0.257,            0.091473,            0.017691,            0.009762,           0.0097558,           0.0097558,           0.0097558
                  76,             0.10757,            0.028245,           0.0081919,              0.7065,             0.47964,             0.51955,             0.25668,            0.091478,            0.017667,           0.0097614,           0.0097525,           0.0097525,           0.0097525
                  77,             0.10742,            0.027398,           0.0076278,             0.70189,             0.48199,             0.51992,             0.25727,            0.091462,            0.017653,            0.009755,           0.0097492,           0.0097492,           0.0097492
                  78,             0.10667,            0.027488,           0.0077487,             0.71678,             0.47724,             0.52108,             0.25756,            0.091432,            0.017653,           0.0097413,           0.0097459,           0.0097459,           0.0097459
                  79,              0.1065,             0.02753,           0.0079586,             0.71378,             0.47815,             0.52152,             0.25806,            0.091379,            0.017644,           0.0097109,           0.0097426,           0.0097426,           0.0097426
                  80,               0.107,            0.027567,           0.0076538,             0.70752,             0.48016,             0.52157,             0.25928,             0.09133,            0.017648,           0.0096932,           0.0097393,           0.0097393,           0.0097393
                  81,             0.10697,             0.02749,           0.0076678,             0.70777,             0.47981,             0.52234,                0.26,            0.091283,            0.017642,           0.0096673,            0.009736,            0.009736,            0.009736
                  82,             0.10779,            0.028063,           0.0086322,             0.69275,             0.48599,             0.52298,             0.26068,            0.091246,            0.017634,           0.0096509,           0.0097327,           0.0097327,           0.0097327
                  83,             0.10719,            0.027697,           0.0074127,             0.69267,             0.48687,             0.52378,             0.26169,            0.091207,            0.017633,           0.0096342,           0.0097294,           0.0097294,           0.0097294
                  84,             0.10789,            0.027983,           0.0085049,             0.69005,             0.48928,             0.52443,             0.26256,            0.091155,            0.017644,           0.0096269,           0.0097261,           0.0097261,           0.0097261
                  85,             0.10649,            0.027661,           0.0076215,              0.6891,             0.49107,             0.52569,               0.263,            0.091118,            0.017656,            0.009616,           0.0097228,           0.0097228,           0.0097228
                  86,             0.10596,            0.027407,           0.0076435,             0.69826,             0.48708,             0.52564,             0.26374,            0.091083,            0.017655,           0.0096158,           0.0097195,           0.0097195,           0.0097195
                  87,             0.10648,            0.027425,           0.0075544,             0.71247,             0.48263,             0.52642,             0.26409,            0.091047,            0.017662,           0.0096102,           0.0097162,           0.0097162,           0.0097162
                  88,             0.10626,            0.027052,           0.0073617,             0.70106,             0.48761,             0.52695,             0.26457,            0.091009,            0.017666,           0.0096088,           0.0097129,           0.0097129,           0.0097129
                  89,             0.10649,            0.027412,           0.0075768,             0.71082,             0.48392,             0.52702,             0.26509,            0.090974,            0.017671,           0.0096061,           0.0097096,           0.0097096,           0.0097096
                  90,             0.10906,            0.029011,            0.010856,             0.70473,             0.48672,             0.52701,             0.26514,            0.090966,            0.017672,           0.0096265,           0.0097063,           0.0097063,           0.0097063
                  91,             0.10756,            0.027808,           0.0082528,             0.68647,              0.4958,             0.52726,             0.26537,            0.090956,            0.017673,           0.0096496,            0.009703,            0.009703,            0.009703
                  92,             0.10721,            0.028093,           0.0073636,              0.6941,             0.49249,             0.52696,             0.26564,            0.090936,            0.017677,           0.0096534,           0.0096997,           0.0096997,           0.0096997
                  93,             0.10653,            0.027442,           0.0071793,              0.6996,             0.48961,             0.52684,              0.2657,            0.090911,            0.017683,           0.0096465,           0.0096964,           0.0096964,           0.0096964
                  94,             0.10593,            0.027445,           0.0070432,             0.70067,             0.49041,              0.5271,             0.26617,            0.090881,            0.017694,           0.0096349,           0.0096931,           0.0096931,           0.0096931
                  95,             0.10613,            0.027745,           0.0074469,             0.70385,             0.48952,             0.52706,             0.26652,            0.090875,              0.0177,           0.0096391,           0.0096898,           0.0096898,           0.0096898
                  96,             0.10641,            0.027467,           0.0071271,             0.69708,              0.4916,             0.52719,             0.26698,            0.090859,            0.017707,           0.0096439,           0.0096865,           0.0096865,           0.0096865
                  97,             0.10583,            0.027062,           0.0073106,             0.68932,             0.49638,             0.52781,             0.26722,            0.090824,            0.017706,           0.0096409,           0.0096832,           0.0096832,           0.0096832
                  98,             0.10564,            0.027402,           0.0074818,             0.69141,             0.49583,              0.5284,             0.26773,            0.090789,            0.017711,           0.0096406,           0.0096799,           0.0096799,           0.0096799
                  99,             0.10612,            0.027644,            0.007504,             0.68303,             0.49999,             0.52872,             0.26841,            0.090758,            0.017713,           0.0096711,           0.0096766,           0.0096766,           0.0096766
                 100,             0.10618,            0.027253,           0.0070328,             0.68197,              0.5016,             0.52859,             0.26856,            0.090724,            0.017724,           0.0096859,           0.0096733,           0.0096733,           0.0096733
                 101,             0.10557,            0.027202,           0.0071368,             0.69026,             0.49824,             0.52949,             0.26914,            0.090683,            0.017727,           0.0096883,             0.00967,             0.00967,             0.00967
                 102,             0.10563,            0.026992,           0.0070116,             0.69199,             0.49841,             0.53084,             0.26988,            0.090636,            0.017731,           0.0096848,           0.0096667,           0.0096667,           0.0096667
                 103,             0.10624,            0.027161,           0.0076809,             0.68653,             0.50335,             0.53242,             0.27055,            0.090591,            0.017728,           0.0096754,           0.0096634,           0.0096634,           0.0096634
                 104,             0.10591,            0.027457,           0.0076399,             0.68963,             0.50298,             0.53321,             0.27131,            0.090554,            0.017728,           0.0096836,           0.0096601,           0.0096601,           0.0096601
                 105,             0.10608,            0.026963,           0.0072457,             0.71373,             0.49253,             0.53441,             0.27239,            0.090509,            0.017736,           0.0096742,           0.0096568,           0.0096568,           0.0096568
                 106,             0.10558,            0.027014,            0.006825,             0.71219,             0.49324,             0.53445,             0.27277,            0.090472,             0.01774,           0.0096678,           0.0096535,           0.0096535,           0.0096535
                 107,             0.10543,            0.027335,           0.0072026,             0.68944,              0.5051,             0.53527,             0.27341,            0.090431,            0.017747,           0.0096605,           0.0096502,           0.0096502,           0.0096502
                 108,             0.10567,            0.026995,             0.00698,             0.68516,             0.50843,             0.53629,             0.27446,            0.090389,             0.01774,           0.0096602,           0.0096469,           0.0096469,           0.0096469
                 109,              0.1055,            0.026986,            0.006991,             0.69232,             0.50693,             0.53745,             0.27503,            0.090342,            0.017744,           0.0096539,           0.0096436,           0.0096436,           0.0096436
                 110,              0.1053,            0.027155,           0.0076009,             0.69164,             0.50677,             0.53761,             0.27561,            0.090302,            0.017745,           0.0096612,           0.0096403,           0.0096403,           0.0096403
                 111,             0.10687,            0.028095,           0.0089906,             0.69427,             0.50523,             0.53793,             0.27603,            0.090283,            0.017754,           0.0096627,            0.009637,            0.009637,            0.009637
                 112,             0.10753,            0.028308,           0.0084899,             0.69526,             0.50567,             0.53805,             0.27629,            0.090264,            0.017781,           0.0097252,           0.0096337,           0.0096337,           0.0096337
                 113,             0.10653,            0.027378,           0.0071891,             0.69552,             0.50657,             0.53917,             0.27742,            0.090249,            0.017803,           0.0097656,           0.0096304,           0.0096304,           0.0096304
                 114,             0.10574,            0.027144,           0.0070052,             0.71598,             0.49722,             0.53955,              0.2783,            0.090228,            0.017812,           0.0097987,           0.0096271,           0.0096271,           0.0096271
                 115,             0.10587,            0.026819,           0.0069089,             0.71028,              0.5037,             0.54068,             0.27906,            0.090197,            0.017815,            0.009805,           0.0096238,           0.0096238,           0.0096238
                 116,             0.10525,            0.027218,           0.0069202,             0.70549,             0.50389,              0.5402,             0.27945,            0.090169,            0.017823,           0.0098116,           0.0096205,           0.0096205,           0.0096205
                 117,             0.10584,            0.027162,           0.0074225,             0.74623,             0.48631,             0.54018,             0.28006,            0.090136,            0.017834,           0.0098178,           0.0096172,           0.0096172,           0.0096172
                 118,             0.10569,            0.027106,           0.0069212,             0.74852,             0.48594,             0.54105,             0.28047,            0.090109,            0.017836,           0.0098186,           0.0096139,           0.0096139,           0.0096139
                 119,             0.10608,            0.027135,           0.0075149,             0.70921,             0.50433,             0.54167,             0.28104,            0.090067,            0.017829,            0.009814,           0.0096106,           0.0096106,           0.0096106
                 120,             0.10603,            0.026933,           0.0073742,             0.71669,             0.50209,              0.5422,             0.28159,             0.09003,            0.017834,           0.0098207,           0.0096073,           0.0096073,           0.0096073
                 121,             0.10487,            0.027156,           0.0064942,             0.71908,             0.50127,             0.54241,             0.28205,            0.089995,            0.017835,           0.0098089,            0.009604,            0.009604,            0.009604
                 122,             0.10626,            0.027267,           0.0080057,             0.71447,             0.50394,             0.54296,             0.28272,            0.089956,            0.017827,           0.0098009,           0.0096007,           0.0096007,           0.0096007
                 123,             0.10584,            0.027283,            0.007282,             0.71904,             0.50327,             0.54337,              0.2832,            0.089935,            0.017833,           0.0098089,           0.0095974,           0.0095974,           0.0095974
                 124,             0.10542,            0.026953,           0.0069835,             0.72563,             0.50185,             0.54396,             0.28363,            0.089901,            0.017832,           0.0098018,           0.0095941,           0.0095941,           0.0095941
                 125,               0.105,            0.026391,            0.006625,             0.72472,             0.50285,             0.54449,             0.28448,            0.089873,            0.017839,           0.0097916,           0.0095908,           0.0095908,           0.0095908
                 126,             0.10519,            0.026923,           0.0063438,             0.72592,             0.50311,             0.54567,             0.28517,            0.089834,            0.017838,           0.0097834,           0.0095875,           0.0095875,           0.0095875
                 127,             0.10501,             0.02728,           0.0071655,             0.73803,               0.498,             0.54601,             0.28571,            0.089796,             0.01783,           0.0097705,           0.0095842,           0.0095842,           0.0095842
                 128,             0.10537,            0.026918,           0.0067602,             0.74003,             0.49843,             0.54662,             0.28652,            0.089758,            0.017835,           0.0097642,           0.0095809,           0.0095809,           0.0095809
                 129,             0.10519,            0.026846,           0.0065448,             0.74197,             0.49826,             0.54738,             0.28713,            0.089724,            0.017832,           0.0097517,           0.0095776,           0.0095776,           0.0095776
                 130,             0.10517,            0.027052,           0.0069344,             0.72563,             0.50622,             0.54889,             0.28791,            0.089694,            0.017833,           0.0097504,           0.0095743,           0.0095743,           0.0095743
                 131,              0.1061,             0.02732,           0.0075706,             0.72446,             0.50852,             0.54937,             0.28831,             0.08965,            0.017815,           0.0097546,            0.009571,            0.009571,            0.009571
                 132,             0.10587,            0.027771,           0.0073547,             0.72274,             0.50953,             0.54968,             0.28866,            0.089622,            0.017818,           0.0097557,           0.0095677,           0.0095677,           0.0095677
                 133,             0.10491,            0.026612,           0.0067278,             0.71866,             0.51193,             0.54958,             0.28909,            0.089592,            0.017821,           0.0097471,           0.0095644,           0.0095644,           0.0095644
                 134,             0.10514,            0.026841,           0.0067967,             0.72278,             0.51091,             0.54925,             0.28943,            0.089568,            0.017818,           0.0097402,           0.0095611,           0.0095611,           0.0095611
                 135,             0.10495,            0.026656,           0.0066024,             0.72349,             0.51202,             0.54988,             0.28999,            0.089536,            0.017819,           0.0097282,           0.0095578,           0.0095578,           0.0095578
                 136,             0.10494,             0.02695,           0.0069634,             0.72776,             0.51272,             0.55083,             0.29106,              0.0895,            0.017806,           0.0097191,           0.0095545,           0.0095545,           0.0095545
                 137,             0.10568,            0.027036,           0.0069886,             0.72829,              0.5138,             0.55154,             0.29147,            0.089493,            0.017813,           0.0097291,           0.0095512,           0.0095512,           0.0095512
                 138,             0.10704,            0.028233,           0.0093021,             0.72954,             0.51412,             0.55259,             0.29177,            0.089477,            0.017807,           0.0097705,           0.0095479,           0.0095479,           0.0095479
                 139,             0.10594,            0.027773,           0.0074789,             0.72729,             0.51645,             0.55331,             0.29216,            0.089486,            0.017807,           0.0098065,           0.0095446,           0.0095446,           0.0095446
                 140,             0.10511,              0.0269,           0.0068556,             0.74062,             0.51011,             0.55303,             0.29191,            0.089482,             0.01781,           0.0098173,           0.0095413,           0.0095413,           0.0095413
                 141,             0.10488,            0.026847,            0.006668,             0.74667,             0.50783,             0.55313,             0.29203,            0.089465,            0.017808,           0.0098136,            0.009538,            0.009538,            0.009538
                 142,             0.10463,            0.026534,           0.0065757,             0.74526,             0.50908,               0.553,             0.29252,            0.089441,            0.017806,           0.0098092,           0.0095347,           0.0095347,           0.0095347
                 143,             0.10531,             0.02691,           0.0063152,              0.7474,             0.50923,             0.55353,             0.29333,            0.089407,            0.017809,           0.0097898,           0.0095314,           0.0095314,           0.0095314
                 144,             0.10408,            0.026372,           0.0064618,             0.74307,             0.51139,             0.55504,             0.29401,            0.089374,            0.017803,           0.0097662,           0.0095281,           0.0095281,           0.0095281
                 145,             0.10554,            0.027403,           0.0076266,             0.74769,             0.50959,             0.55507,             0.29426,            0.089345,            0.017802,           0.0097676,           0.0095248,           0.0095248,           0.0095248
                 146,             0.10489,            0.026969,           0.0068657,             0.69637,             0.53531,             0.55553,             0.29468,            0.089333,            0.017795,           0.0097698,           0.0095215,           0.0095215,           0.0095215
                 147,             0.10483,            0.026717,           0.0063291,             0.70006,             0.53449,             0.55514,              0.2951,            0.089309,            0.017789,           0.0097552,           0.0095182,           0.0095182,           0.0095182
                 148,             0.10456,            0.027062,           0.0063778,             0.69577,             0.53804,             0.55537,             0.29533,            0.089289,            0.017797,           0.0097501,           0.0095149,           0.0095149,           0.0095149
                 149,             0.10443,            0.026677,            0.006383,             0.70213,             0.53692,             0.55562,             0.29555,             0.08928,             0.01779,           0.0097426,           0.0095116,           0.0095116,           0.0095116
                 150,             0.10498,            0.026998,           0.0065187,             0.70574,             0.53632,             0.55654,             0.29617,            0.089242,            0.017791,           0.0097355,           0.0095083,           0.0095083,           0.0095083
                 151,             0.10492,            0.026997,           0.0065656,             0.70958,             0.53468,              0.5569,             0.29659,            0.089206,            0.017798,           0.0097143,            0.009505,            0.009505,            0.009505
                 152,             0.10472,            0.026257,           0.0064239,             0.70543,             0.53705,             0.55769,             0.29738,            0.089166,            0.017785,           0.0097081,           0.0095017,           0.0095017,           0.0095017
                 153,             0.10476,            0.027153,           0.0067245,             0.71051,             0.53586,             0.55855,             0.29772,            0.089128,            0.017779,           0.0097134,           0.0094984,           0.0094984,           0.0094984
                 154,             0.10481,            0.026354,           0.0064344,             0.72181,             0.53075,             0.55935,              0.2982,            0.089098,            0.017776,           0.0097074,           0.0094951,           0.0094951,           0.0094951
                 155,             0.10343,            0.026316,           0.0063575,             0.72176,              0.5317,             0.56058,             0.29869,            0.089058,            0.017772,           0.0096985,           0.0094918,           0.0094918,           0.0094918
                 156,             0.10371,            0.026836,           0.0062288,             0.72683,             0.53023,             0.56169,              0.2995,            0.089026,            0.017769,           0.0096858,           0.0094885,           0.0094885,           0.0094885
